orig_idx,kind,is_transcode,src_rolloff,model_fp,is_stereo,mod38_full,mod38_side,mod38_hf,mod76_full,mod76_hf,inband_flat_tstd,side_flat_tstd,side_energy_cv,flux_mean,flux_std
2,authentic,0,5862.8,1,1,0.016749,0.005268,0.001924,0.004463,4.4e-05,0.015735,0.016591,0.9586,13.6962,6.7456
2,mp3_128,1,5862.8,1,1,0.016871,0.004939,0.001275,0.004378,0.00038,0.065563,0.065255,0.9534,13.0077,6.4027
2,mp3_320,1,5862.8,1,1,0.016755,0.005277,0.001822,0.00446,4.1e-05,0.019929,0.021289,0.9585,13.6963,6.7451
2,mp3_v0,1,5862.8,1,1,0.016749,0.005261,0.001997,0.004473,2e-05,0.021292,0.022372,0.959,13.6968,6.7456
3,authentic,0,3371.8,1,0,0.006426,0.0,0.005951,0.011512,0.00472,0.024147,0.0,0.0,12.8263,7.3907
3,mp3_128,1,3371.8,1,0,0.006447,0.0,0.006034,0.011517,0.004483,0.022442,0.0,0.0,12.1848,7.0216
3,mp3_320,1,3371.8,1,0,0.006426,0.0,0.005945,0.011513,0.004729,0.024521,0.0,0.0,12.8263,7.3907
3,mp3_v0,1,3371.8,1,0,0.00645,0.0,0.005601,0.011518,0.00458,0.022358,0.0,0.0,12.8265,7.3904
0,authentic,0,972.9,1,1,7.3e-05,0.000336,0.003554,0.017286,0.003197,0.044078,0.048584,1.1824,8.823,7.189
0,mp3_128,1,972.9,1,1,8.4e-05,0.000336,0.005038,0.017379,0.003443,0.03753,0.038567,1.1823,8.382,6.8279
0,mp3_320,1,972.9,1,1,7.3e-05,0.000336,0.003531,0.017288,0.003612,0.044087,0.048237,1.1824,8.8229,7.1889
0,mp3_v0,1,972.9,1,1,7.3e-05,0.000335,0.003964,0.017294,0.003087,0.043673,0.048701,1.1824,8.8232,7.1892
1,authentic,0,6214.5,1,1,0.008608,0.003142,0.014256,0.002766,0.00295,0.101539,0.102128,1.4085,9.2012,8.0979
1,mp3_128,1,6214.5,1,1,0.008313,0.003066,0.013693,0.002745,0.002912,0.101959,0.101925,1.4053,8.7703,7.6941
1,mp3_320,1,6214.5,1,1,0.008613,0.003145,0.014357,0.002749,0.002993,0.101675,0.102216,1.4086,9.2016,8.0981
1,mp3_v0,1,6214.5,1,1,0.008567,0.003188,0.014254,0.002745,0.002953,0.101811,0.102149,1.4082,9.1998,8.0974
10,authentic,0,1116.2,1,1,0.00444,0.004973,0.012397,0.001459,0.004455,0.018745,0.018959,1.0446,6.4412,4.1474
10,mp3_128,1,1116.2,1,1,0.00446,0.004936,0.010966,0.001452,0.004201,0.05327,0.052098,1.0447,6.1201,3.9401
10,mp3_320,1,1116.2,1,1,0.004437,0.004972,0.012418,0.001458,0.004523,0.021188,0.021884,1.0446,6.4413,4.1474
10,mp3_v0,1,1116.2,1,1,0.004436,0.004977,0.012655,0.001457,0.004398,0.022202,0.022823,1.0447,6.4411,4.1472
11,authentic,0,6326.2,1,1,0.0032,0.00991,0.020451,0.001098,0.003113,0.001498,0.006714,2.013,13.214,9.8789
11,mp3_128,1,6326.2,1,1,0.003145,0.007918,0.020397,0.001103,0.003081,0.000982,0.003419,1.9484,12.5578,9.3831
11,mp3_320,1,6326.2,1,1,0.003193,0.009914,0.020444,0.001099,0.003107,0.001197,0.00603,2.0072,13.2139,9.879
11,mp3_v0,1,6326.2,1,1,0.003207,0.008871,0.020296,0.001102,0.003061,0.001586,0.006056,1.9803,13.219,9.8782
8,authentic,0,4737.1,1,1,0.001318,0.001932,0.002762,0.007668,0.001262,0.127662,0.128104,1.2846,10.8719,8.6861
8,mp3_128,1,4737.1,1,1,0.001317,0.00205,0.002853,0.007659,0.00118,0.127577,0.127975,1.283,10.3286,8.2501
8,mp3_320,1,4737.1,1,1,0.001324,0.001948,0.002937,0.007668,0.001223,0.127626,0.1281,1.2845,10.8715,8.6863
8,mp3_v0,1,4737.1,1,1,0.001298,0.001919,0.002746,0.00768,0.001174,0.126538,0.126811,1.2856,10.8702,8.6837
9,authentic,0,2552.6,1,1,0.003199,0.004043,0.007184,0.009842,0.002501,0.00064,0.002355,0.5984,3.3824,1.6076
9,mp3_128,1,2552.6,1,1,0.00326,0.004498,0.007496,0.009905,0.002842,0.000341,0.000973,0.599,3.2128,1.5279
9,mp3_320,1,2552.6,1,1,0.003193,0.004038,0.007452,0.009839,0.002552,0.000531,0.001904,0.5984,3.3825,1.6075
9,mp3_v0,1,2552.6,1,1,0.003208,0.003993,0.006864,0.009827,0.002333,0.000602,0.00229,0.5988,3.3827,1.6074
6,authentic,0,3778.4,1,1,0.036186,0.014927,0.035161,0.001717,0.014062,0.066003,0.088879,2.9066,1.6666,2.1354
6,mp3_128,1,3778.4,1,1,0.036364,0.014701,0.034539,0.001724,0.013783,0.015385,0.016298,2.9063,1.5835,2.0278
6,mp3_320,1,3778.4,1,1,0.036179,0.014929,0.035312,0.001717,0.014041,0.039645,0.053406,2.9066,1.6666,2.1355
6,mp3_v0,1,3778.4,1,1,0.036147,0.014954,0.035328,0.001706,0.013916,0.067828,0.090418,2.9066,1.667,2.136
7,authentic,0,3452.1,1,1,0.016855,0.018197,0.003339,0.00029,0.000778,0.025833,0.028934,1.1625,4.2025,3.421
7,mp3_128,1,3452.1,1,1,0.016859,0.018652,0.003525,0.000289,0.000813,0.024898,0.025364,1.1704,3.9924,3.2498
7,mp3_320,1,3452.1,1,1,0.016854,0.018191,0.003396,0.000289,0.000769,0.025196,0.027238,1.1626,4.2025,3.4211
7,mp3_v0,1,3452.1,1,1,0.016803,0.018691,0.003251,0.000288,0.000632,0.02589,0.026551,1.1615,4.2023,3.4199
16,authentic,0,5939.1,1,1,0.027107,0.003816,0.003039,0.001111,0.002122,0.101441,0.102622,2.0909,3.0453,3.7298
16,mp3_128,1,5939.1,1,1,0.027191,0.003917,0.003419,0.001082,0.002721,0.079253,0.086321,2.095,2.9019,3.5522
16,mp3_320,1,5939.1,1,1,0.027109,0.003825,0.002964,0.00111,0.002084,0.100698,0.101836,2.0913,3.0452,3.7297
16,mp3_v0,1,5939.1,1,1,0.027075,0.00382,0.002906,0.001105,0.001989,0.099906,0.100864,2.09,3.0462,3.7292
17,authentic,0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.05286,0.058967,13.0402,0.0003,0.0042
17,mp3_128,1,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.077681,0.06265,12.7361,0.0003,0.0038
17,mp3_320,1,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.065543,0.05867,12.8253,0.0003,0.0041
17,mp3_v0,1,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.055281,0.062786,12.8193,0.0003,0.0042
12,authentic,0,3872.5,1,1,0.003239,0.001344,0.005551,0.000393,0.001993,0.089114,0.1119,1.8311,1.2068,1.2104
12,mp3_128,1,3872.5,1,1,0.003285,0.001368,0.005709,0.000408,0.001543,0.088196,0.111094,1.83,1.146,1.1504
12,mp3_320,1,3872.5,1,1,0.003232,0.001337,0.005707,0.000392,0.001869,0.088453,0.111406,1.8312,1.2066,1.2105
12,mp3_v0,1,3872.5,1,1,0.003242,0.001356,0.006429,0.000395,0.002512,0.088829,0.111279,1.832,1.2072,1.2101
13,authentic,0,4999.9,1,1,0.003059,0.005901,0.001659,0.001806,0.000536,0.000821,0.002083,1.7076,13.9664,7.1264
13,mp3_128,1,4999.9,1,1,0.003082,0.006607,0.001936,0.00176,0.000473,0.000467,9.7e-05,1.7002,13.276,6.7648
13,mp3_320,1,4999.9,1,1,0.003057,0.005932,0.001677,0.001804,0.000534,0.000748,0.001251,1.7065,13.9666,7.1259
13,mp3_v0,1,4999.9,1,1,0.003071,0.005894,0.001556,0.001801,0.000692,0.000654,0.00136,1.7036,13.9706,7.1256
4,authentic,0,6512.3,1,1,0.009125,0.014603,0.027752,0.003857,0.009383,0.004497,0.007623,1.1535,10.4392,6.0085
4,mp3_128,1,6512.3,1,1,0.009234,0.013589,0.027077,0.003917,0.009536,0.006192,0.006358,1.1593,9.9238,5.7123
4,mp3_320,1,6512.3,1,1,0.009133,0.014649,0.027764,0.003856,0.00936,0.002249,0.003651,1.1547,10.4389,6.0085
4,mp3_v0,1,6512.3,1,1,0.009134,0.014581,0.027704,0.003856,0.009421,0.004007,0.001932,1.1539,10.4405,6.0094
5,authentic,0,5345.2,1,1,0.004205,0.005191,0.006885,0.001383,0.00033,0.007396,0.00165,3.9599,4.3038,3.5064
5,mp3_128,1,5345.2,1,1,0.004233,0.005488,0.007274,0.001418,0.000364,0.008018,0.006106,3.9984,4.0925,3.3246
5,mp3_320,1,5345.2,1,1,0.004205,0.005177,0.006928,0.00138,0.00033,0.004492,0.001465,3.9595,4.3038,3.5066
5,mp3_v0,1,5345.2,1,1,0.004202,0.005426,0.007,0.001377,0.000308,0.006617,0.001863,3.9722,4.3051,3.5035
20,authentic,0,5392.6,1,0,0.000671,0.0,0.00161,8.5e-05,0.000909,0.002748,0.0,0.0,5.8866,4.3994
20,mp3_128,1,5392.6,1,0,0.00067,0.0,0.001636,8.8e-05,0.000931,0.059423,0.0,0.0,5.5931,4.18
20,mp3_320,1,5392.6,1,0,0.000671,0.0,0.00161,8.5e-05,0.000907,0.003649,0.0,0.0,5.8865,4.3995
20,mp3_v0,1,5392.6,1,0,0.000671,0.0,0.001618,8.5e-05,0.000904,0.003764,0.0,0.0,5.887,4.3995
21,authentic,0,4272.1,1,1,0.000561,0.004822,0.001382,0.000136,0.000255,0.037997,0.048175,1.6159,0.7037,0.6022
21,mp3_128,1,4272.1,1,1,0.000553,0.004729,0.001665,0.000144,0.000287,0.020321,0.026487,1.6158,0.6711,0.571
21,mp3_320,1,4272.1,1,1,0.000562,0.004863,0.001407,0.000137,0.000244,0.032389,0.042661,1.616,0.7037,0.6022
21,mp3_v0,1,4272.1,1,1,0.00057,0.004789,0.001296,0.000136,0.00026,0.035097,0.047434,1.6173,0.7035,0.6015
14,authentic,0,3936.4,1,0,0.00352,0.0,0.00578,0.006052,0.001503,0.039971,0.0,0.0,9.2241,5.0148
14,mp3_128,1,3936.4,1,0,0.003521,0.0,0.005774,0.00601,0.001532,0.039971,0.0,0.0,8.7644,4.7645
14,mp3_320,1,3936.4,1,0,0.003521,0.0,0.00578,0.006053,0.001503,0.039971,0.0,0.0,9.224,5.0147
14,mp3_v0,1,3936.4,1,0,0.003512,0.0,0.005729,0.006068,0.001511,0.039971,0.0,0.0,9.2252,5.0151
15,authentic,0,3600.6,1,1,0.004083,0.006965,0.009485,0.003762,0.001972,0.017345,0.018604,1.2975,1.5824,0.7915
15,mp3_128,1,3600.6,1,1,0.004172,0.007004,0.008428,0.003785,0.00168,0.01172,0.013552,1.2964,1.5031,0.7522
15,mp3_320,1,3600.6,1,1,0.004089,0.006982,0.009487,0.003761,0.002048,0.017341,0.018572,1.2974,1.5824,0.7915
15,mp3_v0,1,3600.6,1,1,0.004098,0.006968,0.009222,0.003741,0.002034,0.01257,0.012436,1.2976,1.5822,0.7914
18,authentic,0,2470.7,1,0,0.002701,0.0,0.010946,0.001592,0.008484,0.024141,0.0,0.0,13.6207,9.5978
18,mp3_128,1,2470.7,1,0,0.002702,0.0,0.010196,0.001593,0.008557,0.022137,0.0,0.0,12.9402,9.1186
18,mp3_320,1,2470.7,1,0,0.002701,0.0,0.010989,0.001592,0.008484,0.024141,0.0,0.0,13.6207,9.5978
18,mp3_v0,1,2470.7,1,0,0.002708,0.0,0.010669,0.001598,0.008251,0.024141,0.0,0.0,13.6195,9.5976
19,authentic,0,2937.0,1,1,0.001007,0.001241,0.005832,0.000571,0.001002,0.07377,0.073565,1.542,4.9861,5.2805
19,mp3_128,1,2937.0,1,1,0.000947,0.001274,0.00628,0.000596,0.000933,0.073596,0.073561,1.5473,4.7405,5.0149
19,mp3_320,1,2937.0,1,1,0.001002,0.001245,0.006143,0.000571,0.00104,0.073669,0.073565,1.5419,4.9862,5.2804
19,mp3_v0,1,2937.0,1,1,0.00101,0.001238,0.005662,0.000568,0.000947,0.073774,0.073558,1.5421,4.9869,5.2811
26,authentic,0,2931.6,1,1,0.00215,0.002131,0.030401,0.00034,0.010056,0.079635,0.079794,1.2843,5.3609,4.7659
26,mp3_128,1,2931.6,1,1,0.002136,0.002202,0.030321,0.00035,0.010137,0.078828,0.078479,1.2836,5.1006,4.5344
26,mp3_320,1,2931.6,1,1,0.00215,0.002129,0.030523,0.00034,0.010065,0.079636,0.079822,1.2841,5.3611,4.766
26,mp3_v0,1,2931.6,1,1,0.002144,0.002124,0.03048,0.000341,0.010008,0.079639,0.079791,1.2844,5.3604,4.7656
27,authentic,0,3965.2,1,1,0.003229,0.035644,0.004563,0.001584,0.001817,0.001346,0.005822,0.1689,9.7392,5.5778
27,mp3_128,1,3965.2,1,1,0.003249,0.027006,0.005408,0.001576,0.001772,0.007771,0.019806,0.3593,9.2537,5.3006
27,mp3_320,1,3965.2,1,1,0.003232,0.035273,0.004527,0.001584,0.001792,0.001515,0.004605,0.2089,9.739,5.5777
27,mp3_v0,1,3965.2,1,1,0.003219,0.03638,0.00433,0.001583,0.001939,0.001971,0.005785,0.1696,9.7391,5.5774
22,authentic,0,5513.9,1,1,0.020525,0.012045,0.027578,0.001486,0.000646,0.024645,0.025622,0.7412,20.2756,11.442
22,mp3_128,1,5513.9,1,1,0.020762,0.012476,0.027141,0.00153,0.000539,0.032415,0.032822,0.7446,19.2602,10.8568
22,mp3_320,1,5513.9,1,1,0.020523,0.012055,0.027621,0.001487,0.000651,0.026004,0.026347,0.7413,20.2758,11.4418
22,mp3_v0,1,5513.9,1,1,0.020597,0.012116,0.027407,0.001492,0.000611,0.023814,0.024839,0.7412,20.2758,11.4423
23,authentic,0,5982.9,1,1,0.005192,0.006127,0.001196,0.000261,0.002251,0.051411,0.268089,2.7736,1.8185,2.0365
23,mp3_128,1,5982.9,1,1,0.005145,0.006188,0.001229,0.000266,0.002339,0.050509,0.238182,2.7744,1.729,1.9339
23,mp3_320,1,5982.9,1,1,0.00519,0.006125,0.001213,0.000261,0.002248,0.051411,0.258654,2.7733,1.8185,2.0366
23,mp3_v0,1,5982.9,1,1,0.005188,0.006144,0.001188,0.00026,0.002272,0.051072,0.23194,2.7727,1.8202,2.0374
24,authentic,0,3596.5,1,1,0.002573,0.001765,0.00663,0.000618,0.003346,0.086514,0.086545,1.0614,3.6193,2.817
24,mp3_128,1,3596.5,1,1,0.002651,0.001846,0.007302,0.000619,0.002975,0.085091,0.085093,1.064,3.4485,2.6768
24,mp3_320,1,3596.5,1,1,0.002568,0.001756,0.006671,0.000619,0.003337,0.086519,0.086528,1.0612,3.6191,2.8167
24,mp3_v0,1,3596.5,1,1,0.002562,0.001763,0.006093,0.000623,0.003443,0.086574,0.086686,1.0616,3.6196,2.8168
25,authentic,0,6292.6,1,1,0.00144,0.008341,0.015196,0.000578,0.005135,0.001359,0.006884,1.3962,16.9586,13.3433
25,mp3_128,1,6292.6,1,1,0.001605,0.008269,0.014012,0.000553,0.004848,0.000191,0.000471,1.3934,16.1195,12.6729
25,mp3_320,1,6292.6,1,1,0.001441,0.008252,0.015192,0.000579,0.005137,0.000896,0.00316,1.396,16.9578,13.3424
25,mp3_v0,1,6292.6,1,1,0.001435,0.008415,0.015243,0.000569,0.00514,0.00081,0.003616,1.3963,16.96,13.3439
30,authentic,0,4837.7,1,0,0.001271,0.0,0.001549,0.000158,0.000874,0.002351,0.0,0.0,2.3589,2.6175
30,mp3_128,1,4837.7,1,0,0.001277,0.0,0.001506,0.000157,0.00083,0.060403,0.0,0.0,2.2406,2.487
30,mp3_320,1,4837.7,1,0,0.001271,0.0,0.001551,0.000158,0.000869,0.003525,0.0,0.0,2.3587,2.6176
30,mp3_v0,1,4837.7,1,0,0.001272,0.0,0.001534,0.000158,0.000846,0.00329,0.0,0.0,2.3589,2.6175
31,authentic,0,3901.0,1,1,0.006489,0.012248,0.030446,0.001716,0.012326,0.079625,0.079618,1.7416,3.5975,3.3607
31,mp3_128,1,3901.0,1,1,0.006484,0.012157,0.031196,0.001762,0.012081,0.07945,0.079319,1.74,3.4279,3.2016
31,mp3_320,1,3901.0,1,1,0.006487,0.012261,0.030458,0.001715,0.012298,0.079631,0.079618,1.7416,3.5976,3.3607
31,mp3_v0,1,3901.0,1,1,0.006463,0.012252,0.030509,0.00172,0.012436,0.079879,0.079749,1.7415,3.5983,3.3615
28,authentic,0,5002.4,1,1,0.010152,0.007189,0.026365,0.003975,0.004702,0.000367,0.001851,0.7351,0.818,0.5026
28,mp3_128,1,5002.4,1,1,0.010069,0.007272,0.023167,0.003957,0.005585,0.000212,0.000675,0.7349,0.7773,0.4777
28,mp3_320,1,5002.4,1,1,0.010148,0.007195,0.026362,0.003976,0.004507,0.000308,0.001465,0.7351,0.818,0.5026
28,mp3_v0,1,5002.4,1,1,0.010279,0.007212,0.026272,0.003973,0.004543,0.00034,0.001737,0.7351,0.8182,0.5026
29,authentic,0,6230.4,1,1,0.002147,0.0301,0.007919,0.000219,0.003117,0.01474,0.001427,0.1665,2.8076,3.2116
29,mp3_128,1,6230.4,1,1,0.00215,0.036037,0.007842,0.000219,0.002791,0.024154,0.042998,0.3183,2.6672,3.0519
29,mp3_320,1,6230.4,1,1,0.002145,0.027329,0.007984,0.000219,0.003154,0.008675,0.004804,0.2059,2.8075,3.2117
29,mp3_v0,1,6230.4,1,1,0.002143,0.02082,0.007986,0.00022,0.003137,0.013876,0.003918,0.1932,2.8086,3.2121
32,authentic,0,3937.1,1,1,0.004569,0.002661,0.006251,0.006427,0.00304,0.140586,0.140689,1.0333,4.8518,2.5831
32,mp3_128,1,3937.1,1,1,0.004623,0.002867,0.007878,0.00638,0.002792,0.140601,0.14071,1.0301,4.6132,2.4552
32,mp3_320,1,3937.1,1,1,0.004566,0.002651,0.006301,0.006422,0.003024,0.140596,0.140699,1.0333,4.852,2.5832
32,mp3_v0,1,3937.1,1,1,0.004597,0.002633,0.006049,0.006392,0.002963,0.140599,0.140702,1.0329,4.8519,2.583
33,authentic,0,4835.9,1,1,0.022153,0.021509,0.002635,0.004251,0.000888,0.007684,0.053968,0.966,16.0326,9.8486
33,mp3_128,1,4835.9,1,1,0.022131,0.024435,0.002122,0.004197,0.000882,0.003747,0.027393,0.9612,15.2298,9.352
33,mp3_320,1,4835.9,1,1,0.022158,0.021433,0.002628,0.004251,0.000913,0.006058,0.044794,0.9652,16.0332,9.8488
33,mp3_v0,1,4835.9,1,1,0.022119,0.021702,0.002823,0.004266,0.000894,0.007661,0.051018,0.9639,16.0336,9.8484
34,authentic,0,4052.1,1,0,0.006851,0.0,0.000702,0.011697,0.00023,0.026932,0.0,0.0,13.9204,8.0423
34,mp3_128,1,4052.1,1,0,0.006837,0.0,0.00071,0.011707,0.000253,0.02516,0.0,0.0,13.2245,7.6388
34,mp3_320,1,4052.1,1,0,0.006849,0.0,0.000699,0.011698,0.00023,0.026926,0.0,0.0,13.9205,8.0423
34,mp3_v0,1,4052.1,1,0,0.006862,0.0,0.000749,0.01169,0.000233,0.025534,0.0,0.0,13.9203,8.0414
35,authentic,0,2692.6,1,1,0.001473,0.008402,0.013591,0.000193,0.004984,0.035391,0.035401,1.0643,2.4284,2.743
35,mp3_128,1,2692.6,1,1,0.001471,0.008321,0.011678,0.000193,0.004188,0.055129,0.059242,1.0637,2.307,2.6057
35,mp3_320,1,2692.6,1,1,0.001472,0.008393,0.013552,0.000193,0.005054,0.042514,0.043431,1.0643,2.4284,2.743
35,mp3_v0,1,2692.6,1,1,0.001472,0.008427,0.013296,0.000192,0.004794,0.039968,0.039295,1.0643,2.4284,2.7429
36,authentic,0,4420.6,1,1,0.006341,0.00412,0.001655,0.002495,0.002841,0.000586,0.002951,0.7,14.4527,6.8778
36,mp3_128,1,4420.6,1,1,0.006296,0.004097,0.00213,0.002494,0.002759,0.014871,0.016897,0.6993,13.7304,6.5318
36,mp3_320,1,4420.6,1,1,0.006337,0.004129,0.001599,0.002492,0.002819,0.001607,0.003604,0.7002,14.4526,6.8779
36,mp3_v0,1,4420.6,1,1,0.00633,0.004113,0.00173,0.0025,0.002915,0.001253,0.003595,0.7001,14.4538,6.8784
37,authentic,0,6894.4,1,1,0.004901,0.004126,0.006512,0.001357,0.003113,0.051277,0.239974,2.2998,4.4576,4.5485
37,mp3_128,1,6894.4,1,1,0.005056,0.004659,0.006425,0.001359,0.003106,0.050827,0.185773,2.2965,4.2449,4.3298
37,mp3_320,1,6894.4,1,1,0.004917,0.004081,0.006492,0.001359,0.003096,0.051235,0.224966,2.2987,4.4579,4.549
37,mp3_v0,1,6894.4,1,1,0.004898,0.004296,0.006489,0.00135,0.003113,0.051363,0.183016,2.2983,4.4583,4.5486
38,authentic,0,5506.9,1,0,0.002156,0.0,0.002601,0.001399,0.001849,0.020915,0.031162,37.0308,11.3953,6.2922
38,mp3_128,1,5506.9,1,0,0.002158,0.0,0.002487,0.001418,0.001955,0.021965,0.030832,37.0228,10.8248,5.9759
38,mp3_320,1,5506.9,1,0,0.002157,0.0,0.002606,0.0014,0.00185,0.020915,0.031162,37.0308,11.3953,6.2922
38,mp3_v0,1,5506.9,1,0,0.002164,0.0,0.002622,0.001394,0.001843,0.020928,0.030867,37.1296,11.3955,6.2932
39,authentic,0,6522.9,1,1,0.002512,0.005145,0.003317,0.043016,0.001414,0.014134,0.03226,0.5199,17.5049,7.4188
39,mp3_128,1,6522.9,1,1,0.002607,0.0051,0.003265,0.042664,0.001226,0.008506,0.030329,0.5202,16.6329,7.0317
39,mp3_320,1,6522.9,1,1,0.002497,0.005141,0.003358,0.043031,0.001401,0.008793,0.032185,0.5198,17.5044,7.4239
39,mp3_v0,1,6522.9,1,1,0.002473,0.005178,0.00326,0.043156,0.001282,0.010352,0.0313,0.5199,17.5048,7.4284
